YearOfObservation,Insured_Period,Residential,BPainted=N,BPainted=V,BFenced=N,BFenced=V,Garden=O,Garden=V,Settlement=R,Settlement=U,Building Dimension,Fire_resistive,Non_combustible,Ordinary,Wood_framed,NumberOfWindows,Claim
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5950888729066064,0.0,1.0,0.0,0.0,0,oui
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.228500976060824,0.0,0.0,0.0,1.0,0,non
2014.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10664748792766876,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5340593855953971,0.0,0.0,1.0,0.0,0,oui
2014.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03678208157813624,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09329086612555225,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1765128942772013,0.0,0.0,0.0,1.0,0,oui
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.654474468303709,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07376964964553581,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4621391143532313,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3501489777047159,0.0,1.0,0.0,0.0,0,oui
2014.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,non
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06144046028973595,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.051166135826569405,1.0,0.0,0.0,0.0,0,non
2013.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6752286037193055,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5022089797595808,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2463783006267338,0.0,0.0,0.0,1.0,0,oui
2015.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.016233432651803142,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1641837049214014,0.0,0.0,1.0,0.0,0,non
2013.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.41384978937634853,0.0,0.0,0.0,1.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.28131100380150004,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1580191102435015,0.0,0.0,1.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,0.0,1.0,0.0,0,oui
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10253775814240214,1.0,0.0,0.0,0.0,0,non
2014.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0018493784033699783,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1806226240624679,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22993938148566734,0.0,0.0,0.0,1.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11281208260556869,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11281208260556869,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.513510736669064,0.0,0.0,0.0,1.0,0,oui
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7611219562313778,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,oui
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6573512791533956,0.0,1.0,0.0,0.0,0,non
2016.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1641837049214014,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.29980478783519987,0.0,0.0,1.0,0.0,0,oui
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14363505599506834,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2504880304120004,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2669269495530669,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5359087639987671,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.051166135826569405,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10253775814240214,1.0,0.0,0.0,0.0,0,non
2014.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08198910921606904,0.0,0.0,0.0,1.0,0,non
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07171478475290251,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.13130586663926846,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2258296517004007,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.24473440871262717,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12000410972978527,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07993424432343574,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03657659508887291,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16829343470666805,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.29569505804993323,0.0,0.0,0.0,1.0,0,oui
2014.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08198910921606904,0.0,0.0,1.0,0.0,0,oui
2013.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.28254392273708007,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04972773040172609,0.0,0.0,0.0,1.0,0,non
2013.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3963834377889654,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07171478475290251,0.0,0.0,0.0,1.0,0,non
2014.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09575670399671223,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.005959108188636598,0.0,0.0,1.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09226343367923559,1.0,0.0,0.0,0.0,0,non
2015.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0889756498510223,1.0,0.0,0.0,0.0,0,oui
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,oui
2014.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,1.0,0.0,0.0,0,non
2013.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06144046028973595,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19500667831090107,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08075619028048907,0.0,0.0,0.0,1.0,0,non
2013.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11692181239083531,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06144046028973595,0.0,0.0,0.0,1.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3080242474057331,0.0,0.0,0.0,1.0,0,oui
2014.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.201171272988801,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5052912770985308,1.0,0.0,0.0,0.0,0,non
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16377273194287476,1.0,0.0,0.0,0.0,0,oui
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.398643789170862,0.0,1.0,0.0,0.0,0,oui
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.41919243809719514,1.0,0.0,0.0,0.0,0,non
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3326826261173328,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8981814445700196,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6752286037193055,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,oui
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1641837049214014,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9655810130483921,0.0,0.0,0.0,1.0,0,oui
2014.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.49707181752799756,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09226343367923559,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2052810027740676,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.21185657043049422,0.0,1.0,0.0,0.0,0,non
2014.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08198910921606904,0.0,0.0,1.0,0.0,0,oui
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1335662180211651,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16356724545361143,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03678208157813624,1.0,0.0,0.0,0.0,0,non
2015.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14055275865611835,0.0,0.0,0.0,1.0,0,non
2014.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.23096681393198398,0.0,0.0,0.0,1.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07890681187711908,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.33473749100996614,0.0,0.0,0.0,1.0,0,oui
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7169423610397616,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3943285728963321,0.0,1.0,0.0,0.0,0,non
2015.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14507346141991165,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22418575978629407,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.21802116510839414,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2422685708414672,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6450220897975958,1.0,0.0,0.0,0.0,0,oui
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.34090208568786606,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.053221000719202716,0.0,0.0,1.0,0.0,0,non
2014.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5957053323743964,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5572793588821535,0.0,0.0,0.0,1.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.513510736669064,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.29364019315729994,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09740059591081887,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,oui
2016.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14363505599506834,1.0,0.0,0.0,0.0,0,non
2013.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05424843316551937,0.0,0.0,0.0,1.0,0,non
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.21350046234460085,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5928285215247098,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1641837049214014,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08486592006575568,0.0,0.0,1.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12719613685400186,0.0,1.0,0.0,0.0,0,non
2014.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2052810027740676,0.0,0.0,0.0,1.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.43131614096373166,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1241138395150519,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12000410972978527,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2841878146511867,0.0,0.0,1.0,0.0,0,oui
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10459262303503546,0.0,1.0,0.0,0.0,0,non
2013.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2237747868077674,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14979965067296827,0.0,0.0,1.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1970615432035344,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03369978423918628,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.41076749203739854,1.0,0.0,0.0,0.0,0,oui
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1015103256960855,1.0,0.0,0.0,0.0,0,non
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,oui
2013.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04089181136340286,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.34501181547313264,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.347066680365766,0.0,0.0,0.0,1.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22685708414671737,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14055275865611835,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09431829857186891,0.0,1.0,0.0,0.0,0,non
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07520805507037913,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.45186478989006473,1.0,0.0,0.0,0.0,0,non
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04089181136340286,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04500154114866948,0.0,0.0,1.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16829343470666805,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07376964964553581,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08198910921606904,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16829343470666805,0.0,1.0,0.0,0.0,0,oui
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0630843522038426,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09226343367923559,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.24267954381999385,0.0,1.0,0.0,0.0,0,non
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5971437377992397,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11199013664851537,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6039247919449297,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,1.0,0.0,0.0,0,non
2015.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,1.0,0.0,0.0,0,non
2016.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5915956025891298,1.0,0.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3008322202815165,0.0,1.0,0.0,0.0,0,oui
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07294770368848248,1.0,0.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3859036268365355,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1374704613171684,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,oui
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10253775814240214,0.0,0.0,1.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10253775814240214,1.0,0.0,0.0,0.0,0,non
